No,Value,Cluster
363,4310.7,1
364,4323.9,1
365,4314.6,1
366,4331.9,1
367,4326.4,1
368,4316.7,1
369,4321.7,1
370,4322.9,1
371,4338.9,1
372,4307.7,1
373,4299.1,1
374,4281.6,1
375,4284,1
376,4287,1
377,4287.9,1
378,4298.3,1
379,4301.3,1
380,4305,1
381,4284.3,1
382,4283.5,1
383,4292.4,1
384,4294.6,1
385,4267.9,1
386,4240.8,1
387,4233.8,3
388,4248.6,1
389,4259.9,1
390,4277.6,1
391,4276.1,1
392,4274.4,1
393,4281.9,1
394,4288,1
395,4300.9,1
396,4316.5,1
397,4327.7,1
398,4348.4,1
399,4369.6,1
400,4388.7,1
401,4395.2,1
402,4385.3,1
403,4368.1,1
404,4382.6,1
405,4385.8,1
406,4396.2,1
407,4404.6,1
408,4413,1
409,4397.8,1
410,4416,1
411,4433.2,1
412,4439.9,1
413,4421,1
414,4384,1
415,4386.3,1
416,4402.4,1
417,4418.4,1
418,4394.5,1
419,4399,1
420,4387.1,1
421,4374,1
422,4386.1,1
423,4403.1,1
424,4388,1
425,4385.3,1
426,4371.1,1
427,4375.1,1
428,4386.6,1
429,4378.8,1
430,4394.9,1
431,4413.5,1
432,4408.3,1
433,4411.1,1
434,4403.1,1
435,4320.7,1
436,4299.7,1
437,4291.1,1
438,4303.9,1
439,4319.6,1
440,4280.8,1
441,4299.7,1
442,4298,1
443,4283.6,1
444,4251.3,1
445,4250.2,1
446,4280.5,1
447,4282.6,1
448,4275.2,1
449,4272.8,1
450,4285.7,1
451,4286.7,1
452,4266.5,1
453,4281.1,1
454,4282.7,1
455,4279.2,1
456,4301.5,1
457,4309.3,1
458,4298.5,1
459,4302.9,1
460,4295.6,1
461,4300.6,1
462,4305.7,1
463,4308.6,1
464,4332,1
465,4326.3,1
466,4330.4,1
467,4292.6,1
468,4269.5,1
469,4223,3
470,4221.7,3
471,4232.5,3
472,4215.4,3
473,4198,3
474,4209.7,3
475,4210.2,3
476,4213.5,3
477,4203.7,3
478,4205,3
479,4194.5,3
480,4195.4,3
481,4200.5,3
482,4205.6,3
483,4217.5,3
484,4223.9,3
485,4220.2,3
486,4215,3
487,4220.3,3
488,4230.1,3
489,4226.5,3
490,4186.4,3
491,4156,3
492,4155,3
493,4151,3
494,4155.9,3
495,4155.8,3
496,4148.3,3
497,4174.5,3
498,4226,3
499,4243,1
500,4261.2,1
501,4307.7,1
502,4313.5,1
503,4306.3,1
504,4308.6,1
505,4313.4,1
506,4305.9,1
507,4299.1,1
508,4324.8,1
509,4336,1
510,4345.7,1
511,4345.7,1
512,4330.8,1
513,4345.7,1
514,4316.2,1
515,4306.4,1
516,4327.3,1
517,4323.4,1
518,4318.5,1
